"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"BLD","1","Structural","3","General","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of housing unit","HOUSEHOLD","Character","JBLD","Coming soon","01: Mobile home or trailer||02: One-family house, detached||03: One-family house, attached||04: 2 apartments||05: 3 to 4 apartments||06: 5 to 9 apartments||07: 10 to 19 apartments||08: 20 to 49 apartments||09: 50 or more apartments||10: Boat, RV, van, etc.","See User Notes","See User Notes","Collapsed","INTSTATUS in ('1' '2' '3')","BLD is determined using information from multiple items, including HTYPE, ISTYPE, and NUNITS1.",
"YRBUILT","3","Structural","3","General","2","2023 National, 2021 National, 2019 National, 2017 National, 2015 National","PUF","Year unit was built","HOUSEHOLD","Numeric","JYRBUILT","Coming soon","2010 : YYYY: 2010 to YYYY||2000: 2000 to 2009||1990: 1990 to 1999||1980: 1980 to 1989||1970: 1970 to 1979||1960: 1960 to 1969||1950: 1950 to 1959||1940: 1940 to 1949||1930: 1930 to 1939||1920: 1920 to 1929||1919: 1919 or earlier","See User Notes","See User Notes","Collapsed","INTSTATUS in ('1' '2' '3')","For disclosure reasons YRBUILT is a categorical value; internal data users may want to use YRBUILT_IUF. The year the unit was built may be determined using multiple items. The respondent is first asked for the year (BUILTQ), but if they don't know they are asked what decade (DECADEQ), and may also be asked how many years old the building is (YRSOLD).",
"GUTREHB","5","Structural","3","General","2","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has undergone a gut rehabilitation in the last 10 years","HOUSEHOLD","Character","JGUTREHB","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Gut rehabilitation is defined as the general replacement of the interior of a building including the HVAC, plumbing and electrical components. Has this housing unit undergone a gut rehabilitation in the last 10 years?","GUTREHB","None","INTSTATUS = '1' and TENURE = '1' and YRBUILT_IUF < (20XX - 10)","",
"BATHEXCLU","1","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating the unit's bathroom facilities are for the exclusive use of the household","HOUSEHOLD","Character","JBATHEXCLU","Coming soon","1: Bathroom is outside unit but inside building||2: Bathroom is outside building||M or -9: Not reported||N or -6: Not applicable","Earlier you reported not having a bathroom in your unit, is your bathroom: Outside the apartment or unit, but inside the building? Or Outside the building?","See User Notes","None","INTSTATUS in ('1' '2' '3') and BATHROOMS = '13'","This question is only asked when the respondent has earlier reported no bathrooms or half baths. Respondents are then asked a follow-up question if they have access to a bathroom outside of the unit within the building or outside of the building. The instrument name for this variable used to be SHARBATH in 2015 and was changed to BATHEXCLU from 2017 onwards. AHS began imputing BATHEXCLU in 2017.",
"BATHROOMS","2","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of bathrooms in unit","HOUSEHOLD","Character","JBATHROOMS","Coming soon","01: One full bathroom||02: 1.5 bathrooms||03: 2 full bathrooms||04: 2.5 bathrooms||05: 3 full bathrooms||06: More than 3 full bathrooms||07: No full bath: sink and tub present||08: No full bath: sink and toilet present||09: No full bath: tub and toilet present||10: No full bath: sink only||11: No full bath: tub only||12: No full bath: toilet only||13: No full bath: no sink, tub or toilet","See User Notes","See User Notes","Collapsed","INTSTATUS in ('1' '2' '3')","BATHROOMS is determined using information from BATHS (A full bathroom is one that has a sink with running water, a toilet, and either a bathtub or shower. How many full bathrooms are in this unit?) and HALFB (A half-bathroom is one that has either a toilet or a bathtub or a shower. How many half bathrooms are in this unit?), as well as BSINK, TUB, and TOILET (Does this unit have a bathroom sink, bathtub or shower, flush toilet).",
"BEDROOMS","3","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of bedrooms in unit","HOUSEHOLD","Numeric","JBEDROOMS","Coming soon","0 : 9: 0 to 9||10: 10 or more","How many bedrooms are there in this unit?","BEDRMS","Topcoded","INTSTATUS in ('1' '2' '3')","",
"DINING","5","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of dining rooms in unit","HOUSEHOLD","Numeric","JDINING","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many separate dining rooms?","DINING","Topcoded","INTSTATUS in ('1' '2' '3')","A separate dining room is one that is separated from other rooms by archways or walls extending at least six inches.",
"FINROOMS","7","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of other finished rooms in unit","HOUSEHOLD","Numeric","JFINROOMS","Coming soon","0 : 24: 0 to 24||25: 25 or more","See User Notes","See User Notes","Topcoded","INTSTATUS in ('1' '2' '3')","FINROOMS is the sum of LIVING (number of living rooms), FAMROOMS (family rooms, great rooms, or TV rooms), RECROOMS (recreation rooms), DENS (dens or libraries), and OTHFN (other finished rooms).",
"FOUNDTYPE","8","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of foundation","HOUSEHOLD","Character","JFOUNDTYPE","Coming soon","1: Basement under all of the house||2: Basement under part of the house||3: Crawl space||4: Concrete slab||5: Mobile home set up on a masonry foundation||6: Mobile home resting on a concrete pad||7: Mobile home up on blocks, but not on a concrete pad||8: Foundation set up in some other way||9: Mobile home foundation not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')","FOUNDTYPE is determined using information from CELAR1Q (Is this house built with a basement, crawl space, concrete slab, or some other way?), CELAR2Q (Is the basement under all or part of the house?), and MHSETQ (Is the manufactured/mobile home set up on a permanent masonry foundation, a concrete pad, or up on blocks?).",
"KITCHENS","9","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of kitchens in unit","HOUSEHOLD","Numeric","JKITCHENS","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many kitchens?","KITCH","Topcoded","INTSTATUS in ('1' '2' '3')","",
"KITEXCLU","10","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating the unit's kitchen facilities are for the exclusive use of the household","HOUSEHOLD","Character","JKITEXCLU","Coming soon","1: Yes||2: No||N or -6: Not applicable","Are these kitchen facilities for your household's use only?","KEXCLU","None","INTSTATUS in ('1' '2' '3') and COOKTYPE in ('1' '2' '3') and FRIDGE = '1' and KITCHSINK = '1' and BLD in ('04' '05' '06' '07' '08' '09')","",
"LAUNDY","11","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of laundry or utility rooms in unit","HOUSEHOLD","Numeric","JLAUNDY","Coming soon","0 : 4: 0 to 4||5: 5 or more","How many laundry, utility, or pantry rooms?","LAUNDY","Topcoded","INTSTATUS in ('1' '2' '3')","",
"STORIES","15","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES","Coming soon","1 : 6: 1 to 6 stories||7: 7 stories or more","How many stories are in this building?","STORIES","Collapsed","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"STORIES","15","Structural","3","Interior Features","3","2015 National, 2015 Metro","PUF","Number of stories in building","HOUSEHOLD","Numeric","JSTORIES","Coming soon","1 : 6: 1 to 6 stories||7: 7 stories or more","How many stories are there in this building ?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3')","STORIES is asked only when the housing unit is in a multiunit building. For single family units and manufactured/mobile homes, STORIES has the same value as UNITFLOORS.",
"TOTROOMS","17","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of rooms in unit","HOUSEHOLD","Numeric","JTOTROOMS","Coming soon","0 : 26: 0 to 26||27: 27 or more","NA","NA","Topcoded","INTSTATUS in ('1' '2' '3')","The total number of rooms is the sum of BEDROOMS, KITCHENS, DINING, and FINROOMS.",
"UFINROOMS","18","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of other unfinished rooms in unit","HOUSEHOLD","Numeric","JUFINROOMS","Coming soon","0 : 4: 0 to 4||5: 5 or more||M or -9: Not reported","How many other UNFINISHED rooms?","OTHRUN","Topcoded","INTSTATUS in ('1' '2' '3')","",
"UNITFLOORS","19","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of floors within the unit","HOUSEHOLD","Numeric","JUNITFLOORS","Coming soon","1 : 2: 1 to 2 floors||3: 3 or more floors","How many floors are in this unit?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3')","For single family homes and manufactured homes, STORIES and UNITFLOORS have the same value.",
"UNITFLOORS","19","Structural","3","Interior Features","3","2015 National, 2015 Metro","PUF","Number of floors within the unit","HOUSEHOLD","Numeric","JUNITFLOORS","Coming soon","1 : 2: 1 to 2 floors||3: 3 or more floors||N or -6: Not applicable","How many stories are there in this unit?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03')","For single family homes and manufactured homes, STORIES and UNITFLOORS have the same value.",
"UNITSIZE","20","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Unit size (square feet)","HOUSEHOLD","Character","JUNITSIZE","Coming soon","1: Less than 500 square feet||2: 500 to 749 square feet||3: 750 to 999 square feet||4: 1,000 to 1,499 square feet||5: 1,500 to 1,999 square feet||6: 2,000 to 2,499 square feet||7: 2,500 to 2,999 square feet||8: 3,000 to 3,999 square feet||9: 4,000 square feet or more||M or -9: Not reported","Thinking about all the rooms you mentioned earlier, as well as the hallways and entry ways in this housing unit, about how many square feet is that?","UNITSFQ","Collapsed","INTSTATUS in ('1' '2' '3')","Internal data users can use UNITSIZE_IUF.",
"CELLPHONE","1","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of adults with cell phones for personal use","HOUSEHOLD","Numeric","JCELLPHONE","Coming soon","0 : 99: Number of cellphones in the household||M or -9: Not reported||N or -6: Not applicable","How many adults age 18 and over in this household have a cell phone for personal use?","TELCELL","None","INTSTATUS = '1'","",
"COOKFUEL","2","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of fuel used most for cooking","HOUSEHOLD","Character","JCOOKFUEL","Coming soon","1: Electric||2: Piped gas||3: Liquefied petroleum gas||4: Other||5: None","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","COOKFUEL is primarily determined using CFUEL (What fuel is used MOST for cooking--electricity, gas or something else?), but if the respondent reports ""gas,"" GASPI2/GASPIP (Is the unit's heating fuel from underground pipes or bottled gas?) is used to distinguish whether the unit uses LP or Piped Gas.",
"COOKTYPE","3","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of cooking equipment","HOUSEHOLD","Character","JCOOKTYPE","Coming soon","1: Cooking stove or range with oven, in working order||2: Built-in cooking burners, no oven in working order||3: Has microwave, but no oven or burners||4: No working cooking equipment","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","COOKTYPE is determined using multiple items including COOK, BURNER, and OVEN.",
"DISHWASH","4","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working dishwasher","HOUSEHOLD","Character","JDISHWASH","Coming soon","1: Yes||2: No","Does your unit have a dishwasher in working order?","See User Notes","None","INTSTATUS in ('1' '2' '3')","The instrument name for this variable used to be DISHQ in 2015 and was changed to DISHWASH from 2017 onwards.",
"DRYER","5","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of clothes dryer","HOUSEHOLD","Character","JDRYER","Coming soon","1: Working electric powered clothes dryer||2: Working piped gas powered clothes dryer||3: Working liquefied petroleum gas clothes dryer||4: Working other fuel source powered clothes dryer||5: Unit does not have a working clothes dryer","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","DRYER is determined using DRYQ (Does your unit have a clothes dryer in working order?) and DFUELQ (What type of fuel does the dryer use?) but if the respondent reports using ""gas,"" GASPI2/GASPIP (Is the unit's heating fuel from underground pipes or bottled gas?) is used to distinguish whether the unit uses LP or Piped Gas.",
"FRIDGE","6","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working refrigerator","HOUSEHOLD","Character","JFRIDGE","Coming soon","1: Yes||2: No","Does your unit have a refrigerator in working order?","REFRQ","None","INTSTATUS in ('1' '2' '3')","",
"KITCHSINK","7","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a kitchen sink","HOUSEHOLD","Character","JKITCHSINK","Coming soon","1: Yes||2: No","Does this housing unit have a kitchen sink?","SINKQ","None","INTSTATUS in ('1' '2' '3')","",
"LANDLINE","8","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Flag indicating landline telephone in home","HOUSEHOLD","Character","JLANDLINE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is there a landline telephone in this house? Do not count cellular phones, or any phone line that is used only for a computer or fax machine.","TELAND","None","INTSTATUS = '1'","",
"MONOXIDE","9","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating unit has a working carbon monoxide detector","HOUSEHOLD","Character","JMONOXIDE","Coming soon","1: Yes||2: No||M or -9: Not reported","Do you have a working carbon monoxide detector inside your home?","MONOX","None","INTSTATUS in ('1' '2' '3')","This was previously released as the Healthy Homes variable MONOX in 2011.",
"SMOKALRM","10","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro","PUF","Flag indicating unit has a working smoke alarm","HOUSEHOLD","Character","JSMOKALRM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you currently have a working smoke alarm inside your home? Enter ""yes"" if unit has combination smoke alarm/CO detector.","SMOKE","None","INTSTATUS = '1'","This was previously released as the Healthy Homes variable SMOKE in 2011.",
"SPRNKSYSTM","11","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro","PUF","Flag indicating unit has a sprinkler system","HOUSEHOLD","Character","JSPRNKSYSTM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is there a fire sprinkler system inside your home?","SPRNKLR","None","INTSTATUS = '1'","This was previously released as the Healthy Homes variable SPRNKLR in 2011.",
"WASHER","12","Equipment and Appliances","4","Appliances","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working washing machine","HOUSEHOLD","Character","JWASHER","Coming soon","1: Yes||2: No","Does your unit have a washing machine in working order?","WASHQ","None","INTSTATUS in ('1' '2' '3')","",
"ACPRIMARY","1","Equipment and Appliances","4","Cooling","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of primary air conditioning","HOUSEHOLD","Character","JACPRIMARY","Coming soon","01: Electric powered central air conditioning system||02: Piped gas powered central air conditioning system||03: Liquefied petroleum gas powered central air conditioning system||04: Other fuel source powered air conditioning system||05: 1 room air conditioner||06: 2 room air conditioners||07: 3 room air conditioners||08: 4 room air conditioners||09: 5 room air conditioners||10: 6 room air conditioners||11: 7 or more room air conditioners||12: No air conditioning","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","ACPRIMARY and ACSECNDRY are determined using multiple questions including AIRSYS1 (Does the heat pump provide air conditioning to your home?) or AIRSYS2 (Does your apartment have central air conditioning?), OARSYS1 (Unit's heat pump provides air conditioning) or OARSYS2 (Does your home have another central air conditioning system?), AIR (Do you use any room air conditioners?), and NUMAIR (How many?). It also incorporates AFUEL and OAFUEL, which ask what type of fuel the central and secondary central air conditioning systems use.",
"ACSECNDRY","2","Equipment and Appliances","4","Cooling","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of secondary air conditioning","HOUSEHOLD","Character","JACSECNDRY","Coming soon","01: Secondary electric powered central air conditioning system||02: Secondary piped gas powered central air conditioning system||03: Secondary liquefied petroleum gas powered central air conditioning system||04: Secondary other fuel source powered air conditioning system||05: Secondary 1 room air conditioner||06: Secondary 2 room air conditioners||07: Secondary 3 room air conditioners||08: Secondary 4 room air conditioners||09: Secondary 5 room air conditioners||10: Secondary 6 room air conditioners||11: Secondary 7 or more room air conditioners||12: No secondary air conditioning","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","See user notes for ACPRIMARY.",
"FIREPLACE","1","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a useable fireplace","HOUSEHOLD","Character","JFIREPLACE","Coming soon","1: Has usable fireplace, considers it heating equipment||2: Has usable fireplace, not considered heating equipment||3: Usable fireplace, don't know if it is considered heating equipment||4: No usable fireplace","Does this unit have a useable fireplace?","FPLWKQ","None","INTSTATUS in ('1' '2' '3')","",
"HEATFUEL","2","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of main heating fuel","HOUSEHOLD","Character","JHEATFUEL","Coming soon","01: Electricity||02: Piped gas||03: Liquefied petroleum gas||04: Fuel oil||05: Kerosene or other liquid fuel||06: Coal or coke||07: Wood||08: Solar energy||09: Other||10: None","What fuel is used most for heating this unit?","HFUELA","None","INTSTATUS in ('1' '2' '3')","HEATFUEL is determined using multiple items including HFUELA, HFUELB, HFUELC, and GASPIP2.",
"HEATTYPE","3","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of main heating equipment","HOUSEHOLD","Character","JHEATTYPE","Coming soon","01: Forced warm-air furnace||02: Steam or hot water system||03: Electric heat pump||04: Built-in electric baseboard, electric coils||05: Floor, wall, other pipeless furnace||06: Vented room heaters||07: Unvented room heater(s)||08: Portable electric heater(s)||09: Wood burning, pot belly, Franklin stove||10: Fireplace with inserts||11: Fireplace without inserts||12: Other||13: None||14: Cooking stove used for heating","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","HEATTYPE is determined using multiple items including HCENTA/B/C and HPORTA/B/C.",
"SOLAR","4","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating unit has solar panels","HOUSEHOLD","Character","JSOLAR","Coming soon","1: Yes||2: No||M or -9: Not reported","Does this unit have solar panels?","SOLAR","None","INTSTATUS in ('1' '2' '3')","",
"SUPP1HEAT","5","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","First type of supplemental heating","HOUSEHOLD","Character","JSUPP1HEAT","Coming soon","01: Electric or gas cookstove||02: Built-in electric unit(s)||03: Forced warm air furnace with ducts and vents to the individual rooms||04: Electric heat pump||05: Gas oven with the door open||06: Floor, wall or other pipeless furnace built into the structure||07: Portable electric heater(s)||08: Steam / hot water system with radiators or other system using steam / hot water||09: Wood burning, pot belly, Franklin stove(s), or pellet stoves||10: Room heater(s) vented to the outside through a chimney, flue, or pipes||11: Unvented room heater(s)||12: Outdoor wood fired boiler||13: Something else||14: No primary supplemental heating||M or -9: Not reported","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","SUPP1HEAT is determined using SHTEQP (...any other sources to heat your home?) and SHTEQP1 (What is used?).",
"SUPP2HEAT","6","Equipment and Appliances","4","Heating","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Second type of supplemental heating","HOUSEHOLD","Character","JSUPP2HEAT","Coming soon","01: Electric or gas cookstove||02: Built-in electric unit(s)||03: Forced warm air furnace with ducts and vents to the individual rooms||04: Electric heat pump||05: Gas oven with the door open||06: Floor, wall or other pipeless furnace built into the structure||07: Portable electric heater(s)||08: Steam / hot water system with radiators or other system using steam / hot water||09: Wood burning, pot belly, Franklin stove(s), or pellet stoves||10: Room heater(s) vented to the outside through a chimney, flue, or pipes||11: Unvented room heater(s)||12: Outdoor wood fired boiler||13: Something else||14: No secondary supplemental heating||M or -9: Not reported","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","SUPP2HEAT is determined using SHTEQP2a (...any other sources to heat your home?) and SHTEQP2 (What is used?).",
"HOTWATER","1","Equipment and Appliances","4","Water and Sewer","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of hot water system","HOUSEHOLD","Character","JHOTWATER","Coming soon","1: Has running hot water with electric water heater||2: Has running hot water with piped gas water heater||3: Has running hot water with liquefied petroleum gas water heater||4: Has running hot water with fuel oil water heater||5: Has running hot water, heated directly with a solar hot water system||6: Has running hot water, water heater uses other fuel source||7: No hot and cold running water","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","HOTWATER is determined using multiple items including WFUELQ (What type of fuel is used most to heat water?), SUNFUEL (How do you use solar energy to heat your water? Directly, indirectly, or other),SUNFUELSP (Specify other way sun heats water), HOTPIP1 (Does your full bath contain both hot and cold water?), HOTPIP2 for units with one or more half baths and no reported full baths (Does your unit contain both hot and cold water?), HOTPIPP (Is there both hot and cold water anywhere in your home?) for units that have one full bath without hot and cold running water.",
"SEWTYPE","2","Equipment and Appliances","4","Water and Sewer","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of sewer system","HOUSEHOLD","Character","JSEWTYPE","Coming soon","01: Public sewer||02: Septic tank / cesspool: standard septic tank and subsurface leach field||03: Septic tank / cesspool: uses a pump to distribute wastewater||04: Septic tank / cesspool: elevated above natural soil surface||05: Septic tank / cesspool: applies treated wastewater||06: Septic tank / cesspool: other type||07: Chemical toilet||08: Outhouse or privy||09: Other||10: None||M or -9: Not reported","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","SEWTYPE is determined using PUBSEWQ (Is your home connected to a public sewer?), SEWDISQ (What means of sewage disposal does your home have?) for units that report not being connected to a public sewer, and SEWDISTP (What type of septic tank or cesspool system do you have?), which is asked for units that report using a septic tank or cesspool.",
"SEWUSERS","3","Equipment and Appliances","4","Water and Sewer","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of units connected to septic tank or cesspool","HOUSEHOLD","Character","JSEWUSERS","Coming soon","1: 1||2: 2 to 5||3: 6 or more||N or -6: Not applicable","How many homes are connected to the septic tank or cesspool?","SEWDUS","None","INTSTATUS in ('1' '2' '3') and SEWTYPE in ('02' '03' '04' '05' '06')","",
"WATSOURCE","4","Equipment and Appliances","4","Water and Sewer","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Source of water for unit","HOUSEHOLD","Character","JWATSOURCE","Coming soon","1: Public||2: Well||3: Other","Does most of the water for this housing unit come from a water system, either public or private, from an individual well, or from some other source?","WATERQ","None","INTSTATUS in ('1' '2' '3')","",
"ERHEATREL","1","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating visited emergency room in the last 12 months due to heat","HOUSEHOLD","Character","JERHEATREL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did any household member visit an emergency room or urgent care center due to heat stroke or other heat-related illness?","ERHEATREL","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"HOT","2","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months","HOUSEHOLD","Character","JHOT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?","HOTUNIT","None","INTSTATUS = '1'","",
"HOTCLCAP","3","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to inadequate cooling capacity","HOUSEHOLD","Character","JHOTCLCAP","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
